first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,defcon_actions,defcon_actions_per_90,name,season_stats_gw
Bukayo,Saka,Saka,Midfielder,ARS,18.151176415207058,21.86068326723944,100.0,100.0,,10.0,11.6,0.0,15.7,157,0,5.1,0.0,0.31,0.29,0.6,,627.0,847.6,828.0,230.6,0.0,7,10,12,16,25,0.0,0.0,0.0,0.0,0.0,0.0,2.6176293902630476,5.161016384800313,3.6894756032348996,3.366875274800183,3.3161797621086153,3.709506852032385,,,,,,,0.0,0.0,Arsenal,38
Jarrod,Bowen,Bowen,Forward,WHU,18.323788986667978,21.691649200590483,,,,7.8,17.5,0.0,24.0,187,12,4.9,0.0,0.19,0.14,0.33,,881.4,694.0,813.0,238.9,90.0,9,13,8,63,38,6.0,6.0,1.0,1.0,4.0,0.0,3.9108434255594506,3.8602200570334118,3.798516489645396,3.142114418220169,3.612094596209552,3.367860213922505,,,,,,,6.0,6.0,West Ham,38
Nico,O'Reilly,O'Reilly,Defender,MCI,18.039743257816195,21.673046234606026,100.0,100.0,,5.3,19.2,0.0,30.2,160,0,4.7,0.0,0.21,0.09,0.3,,653.8,413.9,573.0,164.1,0.0,5,4,14,25,29,0.0,0.0,0.0,0.0,0.0,0.0,2.855423517163252,5.676272121841832,3.3265648549860667,3.2469211436363405,2.9345616201887035,3.63330297678983,,,,,,,0.0,0.0,Man City,38
Malick,Thiaw,Thiaw,Defender,NEW,18.40299663821219,21.666097643629602,,,,4.9,4.7,0.0,25.7,126,1,3.6,0.0,0.15,0.03,0.18,,868.0,114.3,409.0,138.9,90.0,4,0,5,52,33,6.0,6.0,1.0,5.0,6.0,0.0,3.6336402390487375,3.993340904878719,3.8735240072398356,3.5375456489616486,3.3649458380832495,3.2631010054174125,,,,,,,6.0,6.0,Newcastle,38
Thierno,Barry,Barry,Forward,EVE,18.102471850974396,21.6189951436944,,,,5.7,0.8,0.0,16.7,95,2,2.5,0.0,0.39,0.02,0.41,,341.0,207.7,501.0,102.5,83.0,8,0,7,34,21,4.0,4.337349397590361,0.0,2.0,2.0,0.0,3.696615532228199,3.284933414659341,3.912611983263893,3.543301131800466,3.6650097890224984,3.5165232927200027,,,,,,,4.0,4.337349397590361,Everton,38
Jordan,Pickford,Pickford,Goalkeeper,EVE,18.26645398133395,21.548582347641837,,,,5.6,13.0,0.0,24.1,135,2,3.6,0.0,0.0,0.01,0.01,,885.2,20.3,2.0,90.8,90.0,0,0,11,50,38,0.0,0.0,0.0,3.0,7.0,0.0,3.8638934720350937,3.8384451925516565,3.852465330141777,3.6475255211594115,3.064124465446011,3.282128366307886,,,,,,,0.0,0.0,Everton,38
Dean,Henderson,Henderson,Goalkeeper,CRY,18.277790371337108,21.240024500827463,,,,5.1,9.0,0.0,25.7,131,2,3.5,0.0,0.0,0.0,0.0,,837.8,10.0,0.0,84.7,90.0,0,0,11,51,37,0.0,0.0,0.0,0.0,11.0,0.0,3.803472951687616,4.087618784970436,4.104276067728131,3.27418340868767,3.0082391582632555,2.9622341294903562,,,,,,,0.0,0.0,Crystal Palace,38
Anthony,Gordon,Gordon,Midfielder,NEW,18.204293935088184,21.184773282146505,100.0,100.0,,7.2,3.1,0.0,14.0,101,0,3.9,0.0,0.44,0.17,0.61,,393.8,404.2,514.0,130.9,0.0,6,4,8,30,24,0.0,0.0,0.0,0.0,0.0,0.0,3.2342175683270247,3.988917757290514,3.5727135897583273,4.210379199088976,3.19806582062334,2.9804793470583197,,,,,,,0.0,0.0,Newcastle,38
Bryan,Mbeumo,Mbeumo,Midfielder,MUN,16.53471406319695,21.138109982520984,100.0,100.0,,8.3,15.0,0.0,17.8,148,9,4.5,0.0,0.41,0.17,0.58,,628.8,803.1,882.0,231.4,73.0,11,3,8,37,31,3.0,3.6986301369863015,0.0,0.0,3.0,0.0,3.200388018292345,3.0040761804820457,4.094504199454446,2.861266410097606,3.3744792548705074,4.603395919324034,,,,,,,3.0,3.6986301369863015,Man Utd,38
Amad,Diallo,Amad,Midfielder,MUN,17.546108045982873,21.137102941028616,100.0,100.0,,6.2,1.3,0.0,14.7,91,7,2.8,0.0,0.21,0.18,0.39,,436.6,596.1,600.0,163.5,90.0,2,5,6,33,27,10.0,10.0,1.0,2.0,7.0,0.0,3.8853771087558084,2.9484521722539037,3.6886512430909613,3.3696643199498126,3.6539632019323878,3.5909948950457413,,,,,,,10.0,10.0,Man Utd,38
Brenden,Aaronson,Aaronson,Midfielder,LEE,17.391848711853566,21.101802641262154,75.0,100.0,,5.4,0.8,0.0,23.3,126,1,3.4,0.0,0.17,0.13,0.3,,482.8,486.7,498.0,146.7,90.0,4,8,9,32,30,6.0,6.0,1.0,1.0,4.0,0.0,3.974826264134098,2.8405464243613574,4.076261221931967,3.2556444069983135,3.2445703944278272,3.7099539294085866,,,,,,,6.0,6.0,Leeds,38
Pedro,Lomba Neto,Neto,Midfielder,CHE,18.06761679000841,21.051926154742638,100.0,100.0,,7.0,3.9,0.0,17.9,125,6,3.7,0.0,0.16,0.23,0.39,,523.0,836.2,505.0,186.7,64.0,5,7,11,33,30,2.0,2.8125,0.0,0.0,2.0,0.0,3.6768005079733475,4.129471092541697,3.1939044677446797,4.054731928881575,3.012708792867112,2.984309364734227,,,,,,,2.0,2.8125,Chelsea,38
Marcos,Senesi Barón,Senesi,Defender,BOU,17.578330407358937,21.023740390762136,100.0,100.0,,5.2,22.0,0.0,33.7,175,2,4.7,0.0,0.04,0.13,0.17,,1114.4,367.8,201.0,168.6,90.0,0,6,11,53,37,7.0,7.0,2.0,5.0,5.0,0.0,4.116387728955045,3.84878526314918,3.6890149594991106,3.1587152085524686,2.7654272472031303,3.445409983403197,,,,,,,7.0,7.0,Bournemouth,38
Matheus,Santos Carneiro da Cunha,Cunha,Midfielder,MUN,17.34024454377555,20.985573156863076,100.0,100.0,,8.1,8.7,0.0,17.7,143,0,4.3,0.0,0.25,0.12,0.37,,675.8,545.4,801.0,202.5,0.0,10,4,8,35,29,0.0,0.0,0.0,0.0,0.0,0.0,2.367681131866635,5.155784441337016,3.479476790727022,3.1080932456936,3.2292089341512775,3.6453286130875266,,,,,,,0.0,0.0,Man Utd,38
Nick,Woltemade,Woltemade,Forward,NEW,17.34713234040134,20.983893766597017,100.0,100.0,,6.7,6.5,0.0,16.1,108,2,3.3,0.0,0.31,0.07,0.38,,447.2,314.4,425.0,117.5,77.0,8,4,8,29,24,1.0,1.168831168831169,1.0,0.0,0.0,0.0,3.7363109575886466,3.265433330483486,3.2979191801901147,3.5917815275600287,3.455687344579065,3.6367614261956756,,,,,,,1.0,1.168831168831169,Newcastle,38
Caoimhín,Kelleher,Kelleher,Goalkeeper,BRE,17.264924066884554,20.94579736142065,100.0,100.0,,4.8,12.0,0.0,29.8,143,6,3.9,0.0,0.0,0.01,0.01,,913.8,23.0,0.0,93.8,90.0,0,0,10,49,37,0.0,0.0,0.0,3.0,10.0,0.0,3.837732402695991,3.6143655278904903,3.713435132309237,3.345967638844626,2.753423365144206,3.6808732945360965,,,,,,,0.0,0.0,Brentford,38
Florian,Wirtz,Wirtz,Midfielder,LIV,17.908005125520727,20.87595606668548,100.0,100.0,,8.3,8.5,0.0,15.1,125,1,3.8,0.0,0.26,0.19,0.45,,526.4,908.2,665.0,210.0,17.0,5,4,10,32,27,6.0,31.764705882352942,1.0,1.0,4.0,0.0,4.204105073092935,3.62382652829374,2.675836979897505,4.416822329726968,2.987414214509577,2.967950941164752,,,,,,,6.0,31.764705882352942,Liverpool,38
Jan Paul,van Hecke,Van Hecke,Defender,BHA,17.64802672421714,20.781852491351838,100.0,100.0,,4.7,10.7,0.0,31.5,148,1,4.1,0.0,0.09,0.04,0.13,,980.6,240.4,295.0,152.0,90.0,3,3,10,44,36,7.0,7.0,1.0,6.0,2.0,0.0,3.522381303690148,4.328897764785777,3.640038356024722,3.0952342861545405,3.0614750135619535,3.1338257671347,,,,,,,7.0,7.0,Brighton,38
David,Raya Martín,Raya,Goalkeeper,ARS,16.921273721357313,20.67662961736609,,,,6.2,36.4,0.0,26.1,162,0,4.4,0.0,0.0,0.0,0.0,,541.6,33.5,0.0,57.5,0.0,0,0,19,26,37,0.0,0.0,0.0,0.0,0.0,0.0,1.9692181088370553,4.137834598497995,3.3513608295376187,4.043597023878661,3.419263160605983,3.7553558960087767,,,,,,,0.0,0.0,Arsenal,38
Dango,Ouattara,O.Dango,Midfielder,BRE,17.305152897432833,20.660753731514472,100.0,100.0,,5.6,1.6,0.0,24.3,136,2,4.2,0.0,0.31,0.16,0.47,,509.8,422.8,702.0,162.8,90.0,7,8,6,35,25,7.0,7.0,1.0,4.0,2.0,0.0,3.70091439673447,3.70233476501135,3.018072225071397,3.3369173033976027,3.5469142072180144,3.3556008340816397,,,,,,,7.0,7.0,Brentford,38
Crysencio,Summerville,Summerville,Midfielder,WHU,17.644066996072073,20.60544530936962,100.0,100.0,,5.4,1.6,0.0,20.4,110,6,3.5,0.0,0.2,0.12,0.32,,445.8,460.9,546.0,145.0,90.0,5,4,8,42,29,7.0,7.0,4.0,0.0,3.0,0.0,3.7173625521781695,3.916130894692819,3.311692470577401,3.4734931788767653,3.2253878997469196,2.961378313297546,,,,,,,7.0,7.0,West Ham,38
Declan,Rice,Rice,Midfielder,ARS,16.7332254735523,20.499999630288578,100.0,100.0,,7.2,23.3,0.0,25.6,184,0,5.1,0.0,0.09,0.21,0.3,,827.2,1027.4,298.0,215.4,0.0,4,9,18,25,35,0.0,0.0,0.0,0.0,0.0,0.0,2.7878581976196046,4.798637125541516,2.698722766947438,3.591668592745779,2.8563387906979614,3.76677415673628,,,,,,,0.0,0.0,Arsenal,38
