first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,player_id,team_code,defcon_actions,defcon_actions_per_90,role,name,season_stats_gw
Zian,Flemming,Flemming,Forward,BUR,19.572663491089855,23.31610542270322,100.0,100.0,,5.3,0.8,0.8,18.7,99,9,3.4,4.2,0.41,0.02,0.43,,466.0,159.5,533.0,114.9,84.0,11,0,3,35,21,4.0,4.285714285714286,0.0,3.0,1.0,0.0,4.060752353122175,3.6289139709757317,4.009577818295503,3.578525455628453,4.294893893067995,3.7434419316133654,,,,,,,215,90,4.0,4.285714285714286,Forward,Burnley,38
Bukayo,Saka,Saka,Midfielder,ARS,19.83673902269863,23.190546003742774,100.0,100.0,,10.0,11.6,0.6,15.7,157,0,5.1,5.8,0.31,0.29,0.6,,627.0,847.6,828.0,230.6,0.0,7,10,12,16,25,0.0,0.0,0.0,0.0,0.0,0.0,2.6688381186436807,4.902786297544686,3.273575921265091,3.836054727219998,5.155483958025178,3.3538069810441447,,,,,,,16,3,0.0,0.0,Midfielder,Arsenal,38
Nico,O'Reilly,O'Reilly,Defender,MCI,19.043153994565913,22.923561734601325,100.0,100.0,,5.3,19.2,0.3,30.2,160,0,4.7,1.6,0.21,0.09,0.3,,653.8,413.9,573.0,164.1,0.0,5,4,14,25,29,0.0,0.0,0.0,0.0,0.0,0.0,3.4889303658749165,5.047739183822586,3.3896745510745463,3.2806071331694806,3.836202760624384,3.8804077400354124,,,,,,,411,43,0.0,0.0,Defender,Man City,38
Matheus,Santos Carneiro da Cunha,Cunha,Midfielder,MUN,18.755917306556245,22.78993734768973,100.0,100.0,,8.1,8.7,0.6,17.7,143,0,4.3,4.5,0.25,0.12,0.37,,675.8,545.4,801.0,202.5,0.0,10,4,8,35,29,0.0,0.0,0.0,0.0,0.0,0.0,3.189775645653182,5.4330151473059525,3.1337452806299892,3.386527653240598,3.6128535797265213,4.034020041133484,,,,,,,450,1,0.0,0.0,Midfielder,Man Utd,38
Dominik,Szoboszlai,Szoboszlai,Midfielder,LIV,19.352019859667617,22.653567677663638,100.0,100.0,,7.1,15.1,0.9,22.5,160,2,4.4,6.5,0.13,0.19,0.32,,867.8,1324.6,417.0,260.9,90.0,6,7,9,52,36,9.0,9.0,3.0,1.0,5.0,0.0,3.417087750322386,3.7782880812049022,4.266583390108385,3.80093695415385,4.089123683878095,3.3015478179960196,,,,,,,387,14,9.0,9.0,Midfielder,Liverpool,38
Morgan,Gibbs-White,Gibbs-White,Midfielder,NFO,18.57546765863762,22.60797922671662,100.0,100.0,,7.6,9.2,0.7,24.7,188,9,5.1,5.0,0.31,0.08,0.39,,843.8,747.7,836.0,242.5,90.0,15,4,10,45,35,3.0,3.0,0.0,0.0,3.0,0.0,3.952929340521016,3.1495931799685617,4.27760249766816,3.422939019832379,3.772403620647502,4.0325115680789985,,,,,,,515,17,3.0,3.0,Midfielder,Nott'm Forest,38
Marc,Cucurella Saseta,Cucurella,Defender,CHE,19.139393174485896,22.490841119975745,100.0,100.0,,6.1,14.6,0.3,17.0,104,1,3.1,1.8,0.08,0.11,0.19,,562.8,577.8,309.0,145.1,90.0,1,4,9,39,31,2.0,2.0,2.0,0.0,4.0,0.0,3.62236887265679,4.2691843771125715,3.694777753776414,3.456924867749631,4.096137303190488,3.351447945489849,,,,,,,224,8,2.0,2.0,Defender,Chelsea,38
Phil,Foden,Foden,Midfielder,MCI,17.779898983478624,22.43302651932228,100.0,100.0,,8.0,7.8,0.4,16.4,131,2,4.0,3.4,0.26,0.21,0.47,,583.2,918.8,520.0,201.9,90.0,7,5,11,19,23,2.0,2.0,0.0,0.0,2.0,0.0,3.529099503735532,2.950067668974761,3.7858125483610654,3.747755284319326,3.7671639780879413,4.653127535843655,,,,,,,414,43,2.0,2.0,Midfielder,Man City,38
Marc,Guéhi,Guéhi,Defender,MCI,18.399729737191755,22.326769492808207,100.0,100.0,,5.1,32.6,0.8,35.1,179,0,5.1,4.2,0.12,0.07,0.19,,901.6,304.6,402.0,160.9,0.0,3,5,14,35,35,0.0,0.0,0.0,0.0,0.0,0.0,4.08359766770945,4.50594900218077,3.1327227161325877,3.489204647338453,3.188255703830494,3.9270397556164522,,,,,,,260,43,0.0,0.0,Defender,Man City,38
Tomáš,Souček,Souček,Midfielder,WHU,18.38641784081105,22.25510302484602,100.0,100.0,,5.7,0.5,0.4,18.1,103,3,2.9,2.0,0.24,0.02,0.26,,526.6,191.9,483.0,120.4,90.0,5,2,7,43,24,8.0,8.0,0.0,5.0,3.0,0.0,4.626760414748773,3.4493926577998826,3.088052862342389,3.38262000627004,3.839591899649962,3.8686851840349683,,,,,,,613,21,8.0,8.0,Midfielder,West Ham,38
Kevin,Schade,Schade,Midfielder,BRE,17.540381814986663,22.245975126864963,100.0,100.0,,6.8,1.3,0.5,18.4,125,7,3.6,3.2,0.4,0.07,0.47,,536.8,380.1,821.0,172.8,90.0,8,5,11,34,32,6.0,6.0,1.0,1.0,4.0,0.0,3.3877180639034434,3.218596066588079,3.3540708494568316,3.3607319564828817,4.2192648785554265,4.7055933118782995,,,,,,,120,94,6.0,6.0,Midfielder,Brentford,38
Anthony,Gordon,Gordon,Midfielder,NEW,19.181134010601347,22.141636077921422,100.0,100.0,,7.2,3.1,0.0,14.0,101,0,3.9,0.0,0.44,0.17,0.61,,393.8,404.2,514.0,130.9,0.0,6,4,8,30,24,0.0,0.0,0.0,0.0,0.0,0.0,3.290020211691826,4.3053419119231435,3.527798259187747,4.205216751796842,3.8527568760017896,2.960502067320074,,,,,,,485,4,0.0,0.0,Midfielder,Newcastle,38
Brenden,Aaronson,Aaronson,Midfielder,LEE,18.22556169507375,22.13461216657282,75.0,100.0,,5.4,0.8,0.2,23.3,126,1,3.4,1.2,0.17,0.13,0.3,,482.8,486.7,498.0,146.7,90.0,4,8,9,32,30,6.0,6.0,1.0,1.0,4.0,0.0,4.316839211696199,2.7523100259028013,3.883617852002024,3.267725609714145,4.005068995758582,3.9090504714990675,,,,,,,350,2,6.0,6.0,Midfielder,Leeds,38
